#Time	sumSignal	LR_Signal	TB_Signal 
0.000000	0.100000	0.000000	0.000000
0.300300	0.100000	1.694877	0.809571
0.600601	0.100000	2.066125	0.950472
0.900901	0.100000	0.913336	0.306324
1.201201	0.100000	-0.743580	-0.590834
1.501502	0.100000	-1.624104	-0.999989
1.801802	0.100000	-1.254605	-0.583196
2.102102	0.105103	-0.190253	0.315291
2.402402	0.120117	0.663728	0.953362
2.702703	0.135131	0.854117	0.803997
3.003003	0.150145	0.566816	-0.009434
3.303303	0.165158	0.204015	-0.815073
3.603604	0.180170	-0.057697	-0.947497
3.903904	0.195183	-0.280553	-0.297330
4.204204	0.210195	-0.486957	0.598419
4.504505	0.225206	-0.530044	0.999900
4.804805	0.240217	-0.279224	0.575507
5.105105	0.255228	0.156092	-0.324230
5.405405	0.270237	0.486235	-0.956167
5.705706	0.285247	0.525936	-0.798352
6.006006	0.300255	0.348220	0.018867
6.306306	0.315263	0.124339	0.820503
6.606607	0.330270	-0.115236	0.944438
6.906907	0.345277	-0.451400	0.288309
7.207207	0.360282	-0.798822	-0.605951
7.507508	0.375287	-0.792230	-0.999722
7.807808	0.390291	-0.122280	-0.567766
8.108108	0.405294	0.965342	0.333140
8.408408	0.420297	1.635686	0.958887
8.708709	0.435298	1.132862	0.792635
9.009009	0.450298	-0.404600	-0.028299
9.309309	0.465297	-1.851971	-0.825859
9.609610	0.480296	-1.982217	-0.941296
9.909910	0.495293	-0.581158	-0.279263
10.210210	0.510289	1.279659	0.613429
10.510511	0.525284	2.133678	0.999455
10.810811	0.540277	1.374828	0.559975
11.111111	0.555270	-0.278006	-0.342020
11.411411	0.570261	-1.492054	-0.961521
11.711712	0.585251	-1.478844	-0.786848
12.012012	0.600240	-0.525485	0.037728
12.312312	0.615227	0.470497	0.831142
12.612613	0.630213	0.864957	0.938069
12.912913	0.645197	0.677463	0.270192
13.213213	0.660180	0.303833	-0.620852
13.513514	0.675162	0.011984	-0.999099
13.813814	0.690142	-0.212921	-0.552134
14.114114	0.705120	-0.433209	0.350870
14.414414	0.720097	-0.545440	0.964070
14.714715	0.735072	-0.384265	0.780990
15.015015	0.750046	0.022635	-0.047154
15.315315	0.765018	0.414167	-0.836351
15.615616	0.779988	0.544585	-0.934759
15.915916	0.794956	0.412999	-0.261097
16.216216	0.809923	0.190622	0.628220
16.516517	0.824887	-0.036451	0.998654
16.816817	0.839850	-0.339411	0.544243
17.117117	0.854811	-0.711493	-0.359689
17.417417	0.869770	-0.856763	-0.966534
17.717718	0.884728	-0.392436	-0.775064
18.018018	0.899683	0.638175	0.056575
18.318318	0.914636	1.534831	0.841485
18.618619	0.929587	1.421253	0.931365
18.918919	0.944536	0.111280	0.251978
19.219219	0.959483	-1.511486	-0.635532
19.519520	0.974427	-2.121736	-0.998120
19.819820	0.989370	-1.117855	-0.536305
20.120120	1.004310	0.767119	0.368475
20.420420	1.019248	2.045792	0.968911
20.720721	1.034184	1.751217	0.769068
21.021021	1.049117	0.231456	-0.065991
21.321321	1.064048	-1.241156	-0.846545
21.621622	1.078976	-1.613909	-0.927889
21.921922	1.093903	-0.859123	-0.242837
22.222222	1.100000	0.217853	0.642788
22.522523	1.100000	0.820651	0.997498
22.822823	1.100000	0.772639	0.528318
23.123123	1.100000	0.413369	-0.377229
23.423423	1.100000	0.087970	-0.971202
23.723724	1.100000	-0.146373	-0.763004
24.024024	1.100000	-0.370328	0.075402
24.324324	1.100000	-0.534667	0.851529
24.624625	1.100000	-0.465271	0.924330
24.924925	1.100000	-0.112332	0.233675
25.225225	1.100000	0.316585	-0.649986
25.525526	1.100000	0.538268	-0.996786
25.825826	1.100000	0.470397	-0.520285
26.126126	1.100000	0.257913	0.385950
26.426426	1.100000	0.034966	0.973406
26.726727	1.100000	-0.236071	0.756872
27.027027	1.100000	-0.604712	-0.084806
27.327327	1.100000	-0.863249	-0.856438
27.627628	1.100000	-0.606378	-0.920689
27.927928	1.100000	0.300595	-0.224491
28.228228	1.100000	1.337855	0.657126
28.528529	1.100000	1.593600	0.995986
28.828829	1.100000	0.595406	0.512205
29.129129	1.100000	-1.074365	-0.394636
29.429429	1.100000	-2.105618	-0.975524
29.729730	1.100000	-1.569369	-0.750672
30.030030	1.100000	0.195951	0.094202
30.330330	1.100000	1.806088	0.861270
30.630631	1.100000	2.010248	0.916966
30.930931	1.100000	0.747039	0.215288
31.231231	1.100000	-0.883212	-0.664208
31.531532	1.100000	-1.641142	-0.995098
31.831832	1.100000	-1.164105	-0.504080
32.132132	1.100000	-0.082472	0.403286
32.432432	1.100000	0.713835	0.977555
32.732733	1.100000	0.840031	0.744406
33.033033	1.100000	0.528411	-0.103590
33.333333	1.100000	0.173205	-0.866025
33.633634	1.100000	-0.080096	-0.913161
33.933934	1.100000	-0.303212	-0.206066
34.234234	1.100000	-0.501875	0.671231
34.534535	1.100000	-0.518643	0.994120
34.834835	1.100000	-0.239837	0.495909
35.135135	1.100000	0.198697	-0.411901
35.435435	1.100000	0.504039	-0.979499
35.735736	1.100000	0.514938	-0.738074
36.036036	1.100000	0.325804	0.112969
36.336336	1.100000	0.102276	0.870704
36.636637	1.100000	-0.143626	0.909275
36.936937	1.100000	-0.489837	0.196825
37.237237	1.100000	-0.821444	-0.678194
37.537538	1.100000	-0.756658	-0.993055
37.837838	1.100000	-0.021950	-0.487695
38.138138	1.100000	1.067346	0.420480
38.438438	1.100000	1.644902	0.981356
38.738739	1.100000	1.013279	0.731675
39.039039	1.100000	-0.576961	-0.122338
39.339339	1.100000	-1.938611	-0.875305
39.639640	1.100000	-1.902117	-0.905308
39.939940	1.100000	-0.390225	-0.187567
40.240240	1.100000	1.430583	0.685097
40.540541	1.100000	2.128246	0.991900
40.840841	1.100000	1.228668	0.479437
41.141141	1.100000	-0.439811	-0.429020
41.441441	1.100000	-1.549564	-0.983126
41.741742	1.100000	-1.412903	-0.725212
42.042042	1.100000	-0.412642	0.131695
42.342342	1.100000	0.541903	0.879828
42.642643	1.100000	0.866997	0.901261
42.942943	1.100000	0.641728	0.178292
43.243243	1.100000	0.269360	-0.691939
43.543544	1.100000	-0.011780	-0.990658
43.843844	1.100000	-0.235357	-0.471137
44.144144	1.100000	-0.452410	0.437523
44.444444	1.100000	-0.543372	0.984808
44.744745	1.100000	-0.351673	0.718684
45.045045	1.100000	0.067736	-0.141041
45.345345	1.100000	0.441214	-0.884273
45.645646	1.100000	0.540942	-0.897133
45.945946	1.100000	0.391978	-0.169001
46.246246	1.100000	0.168449	0.698719
46.546547	1.100000	-0.061742	0.989327
46.846847	1.100000	-0.375974	0.462794
47.147147	1.100000	-0.743372	-0.445987
47.447447	1.100000	-0.842087	-0.986402
47.747748	1.100000	-0.308076	-0.712092
48.048048	1.100000	0.749725	0.150375
48.348348	1.100000	1.580086	0.888639
48.648649	1.100000	1.337474	0.892926
48.948949	1.100000	-0.059011	0.159695
49.249249	1.100000	-1.637351	-0.705437
49.549550	1.100000	-2.092396	-0.987909
49.849850	1.100000	-0.946526	-0.454411
50.150150	1.100000	0.946526	0.454411
50.450450	1.100000	2.092396	0.987909
50.750751	1.100000	1.637351	0.705437
51.051051	1.100000	0.059011	-0.159695
51.351351	1.100000	-1.337474	-0.892926
51.651652	1.100000	-1.580086	-0.888639
51.951952	1.100000	-0.749725	-0.150375
52.252252	1.100000	0.308076	0.712092
52.552553	1.100000	0.842087	0.986402
52.852853	1.100000	0.743372	0.445987
